#2-THETA,#INTENSITY
3,7840
3.05,8108
3.1,6813
3.15,7537
3.2,7093
3.25,6102
3.3,6732
3.35,6148
3.4,6207
3.45,5763
3.5,5133
3.55,5880
3.6,4760
3.65,5297
3.7,5052
3.75,4795
3.8,5227
3.85,4025
3.9,4842
3.95,4328
4,4223
4.05,4573
4.1,3687
4.15,4107
4.2,3722
4.25,3873
4.3,3803
4.35,3453
4.4,3640
4.45,3383
4.5,3605
4.55,3453
4.6,3243
4.65,3313
4.7,3115
4.75,3127
4.8,3185
4.85,2998
4.9,3232
4.95,3138
5,3115
5.05,3150
5.1,3138
5.15,3162
5.2,2987
5.25,3010
5.3,2952
5.35,2858
5.4,2858
5.45,2928
5.5,2812
5.55,2753
5.6,2858
5.65,2707
5.7,2672
5.75,2823
5.8,2835
5.85,2660
5.9,2777
5.95,2578
6,2730
6.05,2812
6.1,3010
6.15,2707
6.2,2718
6.25,2917
6.3,2753
6.35,2777
6.4,2788
6.45,2788
6.5,2870
6.55,2800
6.6,2858
6.65,2893
6.7,2905
6.75,3068
6.8,2975
6.85,2975
6.9,3057
6.95,3068
7,3103
7.05,3080
7.1,2905
7.15,3033
7.2,3150
7.25,2963
7.3,2987
7.35,2812
7.4,3045
7.45,2940
7.5,2952
7.55,2928
7.6,2835
7.65,2893
7.7,2777
7.75,2730
7.8,2812
7.85,2800
7.9,2823
7.95,2835
8,2567
8.05,2660
8.1,2590
8.15,2508
8.2,2462
8.25,2520
8.3,2462
8.35,2392
8.4,2333
8.45,2345
8.5,2368
8.55,2473
8.6,2228
8.65,2345
8.7,2333
8.75,2380
8.8,2263
8.85,2158
8.9,2170
8.95,2240
9,1995
9.05,2193
9.1,1972
9.15,1983
9.2,2123
9.25,1808
9.3,2030
9.35,1972
9.4,2065
9.45,1972
9.5,1972
9.55,1890
9.6,1948
9.65,1937
9.7,1843
9.75,1948
9.8,1867
9.85,1820
9.9,1785
9.95,1843
10,1913
10.05,1692
10.1,1762
10.15,1913
10.2,1773
10.25,1750
10.3,1715
10.35,1762
10.4,1750
10.45,1668
10.5,1680
10.55,1692
10.6,1633
10.65,1563
10.7,1528
10.75,1657
10.8,1575
10.85,1587
10.9,1657
10.95,1423
11,1482
11.05,1587
11.1,1552
11.15,1458
11.2,1400
11.25,1365
11.3,1388
11.35,1435
11.4,1388
11.45,1400
11.5,1330
11.55,1377
11.6,1365
11.65,1365
11.7,1295
11.75,1283
11.8,1272
11.85,1307
11.9,1237
11.95,1248
12,1283
12.05,1213
12.1,1295
12.15,1202
12.2,1237
12.25,1237
12.3,1237
12.35,1202
12.4,1295
12.45,1307
12.5,1248
12.55,1225
12.6,1295
12.65,1237
12.7,1272
12.75,1225
12.8,1260
12.85,1213
12.9,1213
12.95,1225
13,1132
13.05,1120
13.1,1202
13.15,1190
13.2,1178
13.25,1178
13.3,1248
13.35,1295
13.4,1202
13.45,1167
13.5,1225
13.55,1260
13.6,1295
13.65,1295
13.7,1318
13.75,1307
13.8,1388
13.85,1388
13.9,1330
13.95,1318
14,1342
14.05,1353
14.1,1307
14.15,1353
14.2,1178
14.25,1272
14.3,1237
14.35,1248
14.4,1248
14.45,1213
14.5,1178
14.55,1132
14.6,1283
14.65,1202
14.7,1260
14.75,1225
14.8,1225
14.85,1190
14.9,1132
14.95,1202
15,1190
15.05,1132
15.1,1190
15.15,1202
15.2,1202
15.25,1132
15.3,1202
15.35,1120
15.4,1202
15.45,1237
15.5,1248
15.55,1190
15.6,1283
15.65,1307
15.7,1377
15.75,1505
15.8,1645
15.85,1843
15.9,1890
15.95,1983
16,1925
16.05,1902
16.1,1703
16.15,1540
16.2,1505
16.25,1295
16.3,1330
16.35,1225
16.4,1248
16.45,1295
16.5,1272
16.55,1295
16.6,1307
16.65,1295
16.7,1318
16.75,1388
16.8,1435
16.85,1622
16.9,1820
16.95,1983
17,2065
17.05,2042
17.1,1902
17.15,1750
17.2,1552
17.25,1598
17.3,1388
17.35,1307
17.4,1353
17.45,1400
17.5,1458
17.55,1528
17.6,1458
17.65,1505
17.7,1517
17.75,1447
17.8,1400
17.85,1330
17.9,1377
17.95,1388
18,1482
18.05,1528
18.1,1610
18.15,1563
18.2,1493
18.25,1552
18.3,1552
18.35,1598
18.4,1587
18.45,1622
18.5,1598
18.55,1610
18.6,1587
18.65,1703
18.7,1668
18.75,1738
18.8,1680
18.85,1750
18.9,1668
18.95,1598
19,1657
19.05,1633
19.1,1633
19.15,1575
19.2,1750
19.25,1657
19.3,1633
19.35,1610
19.4,1540
19.45,1575
19.5,1598
19.55,1598
19.6,1552
19.65,1610
19.7,1540
19.75,1552
19.8,1540
19.85,1633
19.9,1540
19.95,1482
20,1552
20.05,1552
20.1,1563
20.15,1552
20.2,1528
20.25,1505
20.3,1493
20.35,1540
20.4,1552
20.45,1435
20.5,1505
20.55,1470
20.6,1563
20.65,1540
20.7,1482
20.75,1493
20.8,1493
20.85,1622
20.9,1528
20.95,1517
21,1587
21.05,1587
21.1,1773
21.15,1832
21.2,1972
21.25,2042
21.3,1972
21.35,1855
21.4,1727
21.45,1692
21.5,1540
21.55,1458
21.6,1482
21.65,1412
21.7,1482
21.75,1517
21.8,1505
21.85,1622
21.9,1703
21.95,1680
22,1785
22.05,1680
22.1,1750
22.15,1762
22.2,1937
22.25,2018
22.3,2112
22.35,2333
22.4,2438
22.45,2520
22.5,2567
22.55,2438
22.6,2275
22.65,2275
22.7,2147
22.75,2065
22.8,2030
22.85,1983
22.9,2030
22.95,2135
23,2030
23.05,2042
23.1,2170
23.15,2088
23.2,2065
23.25,2018
23.3,2018
23.35,2018
23.4,1925
23.45,1913
23.5,1902
23.55,1867
23.6,1832
23.65,1785
23.7,1808
23.75,1808
23.8,1797
23.85,1738
23.9,1797
23.95,1808
24,1727
24.05,1773
24.1,1738
24.15,1715
24.2,1657
24.25,1715
24.3,1773
24.35,1703
24.4,1855
24.45,1797
24.5,1890
24.55,1832
24.6,1855
24.65,1890
24.7,1832
24.75,1855
24.8,1867
24.85,1890
24.9,1855
24.95,1832
25,1890
25.05,1890
25.1,1890
25.15,2065
25.2,2100
25.25,2298
25.3,2823
25.35,3593
25.4,4293
25.45,5203
25.5,5553
25.55,5495
25.6,5005
25.65,4235
25.7,3325
25.75,2625
25.8,2193
25.85,1948
25.9,1843
25.95,1820
26,1715
26.05,1843
26.1,1855
26.15,1867
26.2,1773
26.25,1820
26.3,1890
26.35,2077
26.4,2100
26.45,2287
26.5,2380
26.55,2450
26.6,2368
26.65,2322
26.7,2170
26.75,2030
26.8,1925
26.85,1832
26.9,1762
26.95,1820
27,1785
27.05,1727
27.1,1808
27.15,1902
27.2,1972
27.25,2217
27.3,2555
27.35,2952
27.4,3453
27.45,3768
27.5,4072
27.55,4072
27.6,3815
27.65,3348
27.7,2987
27.75,2485
27.8,2322
27.85,2053
27.9,1948
27.95,1925
28,1948
28.05,1972
28.1,2065
28.15,2252
28.2,2368
28.25,2590
28.3,2765
28.35,2858
28.4,2835
28.45,2788
28.5,2532
28.55,2380
28.6,2158
28.65,2042
28.7,1937
28.75,1785
28.8,1738
28.85,1808
28.9,1820
28.95,1832
29,1867
29.05,1925
29.1,1925
29.15,1913
29.2,2065
29.25,2088
29.3,2193
29.35,2298
29.4,2322
29.45,2462
29.5,2602
29.55,2648
29.6,2742
29.65,2695
29.7,2800
29.75,2683
29.8,2660
29.85,2555
29.9,2403
29.95,2438
30,2333
30.05,2322
30.1,2240
30.15,2147
30.2,2065
30.25,2030
30.3,1937
30.35,1878
30.4,1890
30.45,1937
30.5,1960
30.55,2123
30.6,2275
30.65,2345
30.7,2438
30.75,2532
30.8,2532
30.85,2462
30.9,2485
30.95,2462
31,2403
31.05,2392
31.1,2392
31.15,2450
31.2,2415
31.25,2263
31.3,2240
31.35,2147
31.4,2170
31.45,2135
31.5,2112
31.55,1972
31.6,1995
31.65,2042
31.7,2147
31.75,2298
31.8,2532
31.85,2683
31.9,3033
31.95,3570
32,4130
32.05,4900
32.1,5880
32.15,7105
32.2,8225
32.25,9182
32.3,9800
32.35,9916
32.4,9531
32.45,8983
32.5,8470
32.55,7735
32.6,6942
32.65,6067
32.7,5017
32.75,4328
32.8,3430
32.85,2963
32.9,2718
32.95,2625
33,2730
33.05,2835
33.1,2777
33.15,2567
33.2,2322
33.25,2135
33.3,1913
33.35,1715
33.4,1587
33.45,1552
33.5,1493
33.55,1540
33.6,1563
33.65,1517
33.7,1575
33.75,1587
33.8,1563
33.85,1563
33.9,1493
33.95,1563
34,1598
34.05,1622
34.1,1715
34.15,1762
34.2,1902
34.25,2193
34.3,2742
34.35,3092
34.4,3652
34.45,4025
34.5,4317
34.55,4422
34.6,4468
34.65,4363
34.7,4118
34.75,3733
34.8,3372
34.85,3208
34.9,3092
34.95,3150
35,3383
35.05,3640
35.1,3722
35.15,3803
35.2,3780
35.25,3582
35.3,3430
35.35,3138
35.4,2882
35.45,2788
35.5,2753
35.55,2602
35.6,2788
35.65,2823
35.7,2963
35.75,3162
35.8,3325
35.85,3360
35.9,3407
35.95,3418
36,3232
36.05,2987
36.1,2520
36.15,2182
36.2,1902
36.25,1738
36.3,1703
36.35,1668
36.4,1715
36.45,1785
36.5,2030
36.55,2123
36.6,2100
36.65,2147
36.7,2170
36.75,2112
36.8,1960
36.85,1843
36.9,1785
36.95,1715
37,1855
37.05,1890
37.1,2007
37.15,2100
37.2,2123
37.25,2193
37.3,2018
37.35,2042
37.4,1878
37.45,1843
37.5,1750
37.55,1610
37.6,1598
37.65,1517
37.7,1552
37.75,1423
37.8,1365
37.85,1318
37.9,1330
37.95,1342
38,1353
38.05,1400
38.1,1458
38.15,1458
38.2,1563
38.25,1528
38.3,1552
38.35,1482
38.4,1528
38.45,1493
38.5,1540
38.55,1563
38.6,1458
38.65,1353
38.7,1388
38.75,1283
38.8,1260
38.85,1190
38.9,1202
38.95,1225
39,1225
39.05,1260
39.1,1248
39.15,1295
39.2,1377
39.25,1388
39.3,1458
39.35,1528
39.4,1470
39.45,1470
39.5,1412
39.55,1388
39.6,1388
39.65,1482
39.7,1435
39.75,1505
39.8,1563
39.85,1645
39.9,1598
39.95,1587
40,1587
40.05,1575
40.1,1505
40.15,1552
40.2,1540
40.25,1587
40.3,1622
40.35,1587
40.4,1843
40.45,1878
40.5,2158
40.55,2322
40.6,2602
40.65,2777
40.7,2987
40.75,2963
40.8,2882
40.85,2812
40.9,2508
40.95,2368
41,2263
41.05,2252
41.1,2357
41.15,2555
41.2,3057
41.25,4037
41.3,5040
41.35,6102
41.4,6732
41.45,7303
41.5,7175
41.55,6848
41.6,6148
41.65,5227
41.7,4445
41.75,3827
41.8,3313
41.85,2893
41.9,2602
41.95,2543
42,2345
42.05,2380
42.1,2403
42.15,2275
42.2,2322
42.25,2298
42.3,2158
42.35,2065
42.4,2053
42.45,1820
42.5,1773
42.55,1703
42.6,1633
42.65,1633
42.7,1668
42.75,1610
42.8,1703
42.85,1552
42.9,1528
42.95,1423
43,1400
43.05,1353
43.1,1342
43.15,1342
43.2,1342
43.25,1412
43.3,1353
43.35,1470
43.4,1458
43.45,1493
43.5,1517
43.55,1412
43.6,1400
43.65,1388
43.7,1330
43.75,1318
43.8,1283
43.85,1237
43.9,1167
43.95,1213
44,1167
44.05,1190
44.1,1260
44.15,1318
44.2,1225
44.25,1283
44.3,1213
44.35,1178
44.4,1120
44.45,1097
44.5,1027
44.55,1120
44.6,1108
44.65,1120
44.7,1167
44.75,1120
44.8,1108
44.85,1062
44.9,1097
44.95,1085
45,1085
45.05,1085
45.1,1108
45.15,1178
45.2,1120
45.25,1108
45.3,1108
45.35,1132
45.4,1167
45.45,1120
45.5,1120
45.55,1190
45.6,1202
45.65,1272
45.7,1307
45.75,1342
45.8,1307
45.85,1423
45.9,1412
45.95,1423
46,1377
46.05,1307
46.1,1248
46.15,1248
46.2,1260
46.25,1132
46.3,1143
46.35,1143
46.4,1132
46.45,1178
46.5,1085
46.55,1062
46.6,1143
46.65,1120
46.7,1120
46.75,1108
46.8,1120
46.85,1120
46.9,1120
46.95,1038
47,1108
47.05,1015
47.1,1027
47.15,1073
47.2,1050
47.25,1167
47.3,1167
47.35,1143
47.4,1202
47.45,1248
47.5,1330
47.55,1318
47.6,1353
47.65,1365
47.7,1307
47.75,1283
47.8,1248
47.85,1167
47.9,1272
47.95,1155
48,1155
48.05,1132
48.1,1143
48.15,1062
48.2,1038
48.25,1015
48.3,1085
48.35,1038
48.4,1027
48.45,1015
48.5,1050
48.55,1038
48.6,1015
48.65,1062
48.7,1050
48.75,1132
48.8,1085
48.85,1155
48.9,1237
48.95,1155
49,1108
49.05,1237
49.1,1213
49.15,1248
49.2,1377
49.25,1447
49.3,1622
49.35,1657
49.4,1785
49.45,1855
49.5,1762
49.55,1750
49.6,1668
49.65,1622
49.7,1563
49.75,1435
49.8,1377
49.85,1470
49.9,1400
49.95,1470
50,1575
50.05,1517
50.1,1423
50.15,1353
50.2,1318
50.25,1365
50.3,1353
50.35,1423
50.4,1493
50.45,1552
50.5,1645
50.55,1727
50.6,1715
50.65,1657
50.7,1552
50.75,1388
50.8,1307
50.85,1108
50.9,1085
50.95,968
51,898
51.05,910
51.1,863
51.15,922
51.2,945
51.25,945
51.3,922
51.35,852
51.4,910
51.45,910
51.5,887
51.55,863
51.6,887
51.65,887
51.7,922
51.75,980
51.8,1003
51.85,980
51.9,1003
51.95,1108
