#2-THETA,INTENSITY
2,351
2.05,477
2.1,402
2.15,435
2.2,413
2.25,330
2.3,401
2.35,272
2.4,377
2.45,320
2.5,330
2.55,380
2.6,282
2.65,313
2.7,325
2.75,279
2.8,291
2.85,312
2.9,236
2.95,277
3,252
3.05,227
3.1,252
3.15,259
3.2,235
3.25,215
3.3,197
3.35,228
3.4,245
3.45,192
3.5,188
3.55,177
3.6,183
3.65,181
3.7,192
3.75,164
3.8,169
3.85,135
3.9,165
3.95,192
4,156
4.05,190
4.1,120
4.15,140
4.2,143
4.25,136
4.3,155
4.35,117
4.4,154
4.45,113
4.5,119
4.55,152
4.6,102
4.65,132
4.7,112
4.75,132
4.8,111
4.85,107
4.9,115
4.95,94
5,122
5.05,110
5.1,107
5.15,93
5.2,112
5.25,89
5.3,132
5.35,99
5.4,84
5.45,94
5.5,115
5.55,89
5.6,98
5.65,102
5.7,101
5.75,87
5.8,92
5.85,97
5.9,121
5.95,100
6,116
6.05,99
6.1,142
6.15,100
6.2,125
6.25,105
6.3,117
6.35,119
6.4,142
6.45,129
6.5,127
6.55,148
6.6,107
6.65,116
6.7,113
6.75,115
6.8,106
6.85,92
6.9,97
6.95,86
7,77
7.05,73
7.1,75
7.15,77
7.2,79
7.25,81
7.3,56
7.35,68
7.4,64
7.45,68
7.5,57
7.55,58
7.6,73
7.65,62
7.7,49
7.75,57
7.8,54
7.85,63
7.9,49
7.95,67
8,60
8.05,54
8.1,58
8.15,50
8.2,47
8.25,53
8.3,57
8.35,53
8.4,50
8.45,45
8.5,46
8.55,50
8.6,52
8.65,57
8.7,52
8.75,50
8.8,46
8.85,50
8.9,55
8.95,57
9,51
9.05,60
9.1,49
9.15,47
9.2,50
9.25,43
9.3,41
9.35,44
9.4,53
9.45,37
9.5,48
9.55,37
9.6,49
9.65,47
9.7,50
9.75,43
9.8,50
9.85,36
9.9,37
9.95,42
10,49
10.05,49
10.1,35
10.15,51
10.2,34
10.25,39
10.3,39
10.35,49
10.4,38
10.45,43
10.5,43
10.55,39
10.6,43
10.65,50
10.7,40
10.75,43
10.8,45
10.85,51
10.9,35
10.95,39
11,40
11.05,38
11.1,46
11.15,40
11.2,40
11.25,39
11.3,34
11.35,49
11.4,39
11.45,41
11.5,37
11.55,45
11.6,43
11.65,45
11.7,37
11.75,37
11.8,42
11.85,42
11.9,39
11.95,44
12,35
12.05,38
12.1,33
12.15,34
12.2,37
12.25,44
12.3,31
12.35,47
12.4,43
12.45,41
12.5,43
12.55,41
12.6,46
12.65,39
12.7,42
12.75,36
12.8,42
12.85,41
12.9,42
12.95,39
13,39
13.05,32
13.1,39
13.15,42
13.2,44
13.25,35
13.3,39
13.35,40
13.4,37
13.45,40
13.5,45
13.55,38
13.6,48
13.65,40
13.7,43
13.75,45
13.8,40
13.85,34
13.9,32
13.95,42
14,38
14.05,38
14.1,36
14.15,33
14.2,40
14.25,30
14.3,38
14.35,32
14.4,36
14.45,38
14.5,35
14.55,31
14.6,37
14.65,39
14.7,38
14.75,34
14.8,41
14.85,43
14.9,38
14.95,42
15,41
15.05,44
15.1,34
15.15,41
15.2,43
15.25,42
15.3,39
15.35,43
15.4,47
15.45,32
15.5,43
15.55,43
15.6,42
15.65,43
15.7,37
15.75,38
15.8,53
15.85,51
15.9,55
15.95,58
16,64
16.05,58
16.1,61
16.15,56
16.2,53
16.25,59
16.3,44
16.35,53
16.4,46
16.45,52
16.5,45
16.55,43
16.6,42
16.65,52
16.7,42
16.75,50
16.8,45
16.85,50
16.9,49
16.95,52
17,58
17.05,56
17.1,56
17.15,54
17.2,54
17.25,49
17.3,52
17.35,59
17.4,55
17.45,57
17.5,46
17.55,55
17.6,52
17.65,54
17.7,51
17.75,61
17.8,53
17.85,55
17.9,47
17.95,45
18,49
18.05,47
18.1,45
18.15,54
18.2,56
18.25,46
18.3,54
18.35,47
18.4,53
18.45,49
18.5,50
18.55,60
18.6,52
18.65,47
18.7,43
18.75,46
18.8,58
18.85,54
18.9,45
18.95,43
19,53
19.05,48
19.1,50
19.15,52
19.2,50
19.25,48
19.3,49
19.35,44
19.4,45
19.45,49
19.5,47
19.55,54
19.6,55
19.65,53
19.7,50
19.75,47
19.8,47
19.85,50
19.9,56
19.95,57
20,61
20.05,58
20.1,53
20.15,57
20.2,56
20.25,53
20.3,59
20.35,60
20.4,59
20.45,63
20.5,64
20.55,68
20.6,62
20.65,57
20.7,59
20.75,52
20.8,55
20.85,54
20.9,64
20.95,60
21,62
21.05,57
21.1,53
21.15,65
21.2,64
21.25,75
21.3,73
21.35,68
21.4,72
21.45,70
21.5,78
21.55,78
21.6,83
21.65,82
21.7,78
21.75,81
21.8,72
21.85,73
21.9,69
21.95,75
22,75
22.05,77
22.1,73
22.15,70
22.2,76
22.25,74
22.3,81
22.35,72
22.4,78
22.45,73
22.5,79
22.55,78
22.6,75
22.65,70
22.7,76
22.75,77
22.8,73
22.85,75
22.9,78
22.95,81
23,83
23.05,70
23.1,72
23.15,67
23.2,87
23.25,92
23.3,86
23.35,84
23.4,87
23.45,86
23.5,88
23.55,79
23.6,86
23.65,110
23.7,134
23.75,192
23.8,280
23.85,341
23.9,399
23.95,380
24,344
24.05,286
24.1,198
24.15,155
24.2,120
24.25,110
24.3,109
24.35,104
24.4,104
24.45,103
24.5,113
24.55,127
24.6,110
24.65,104
24.7,95
24.75,104
24.8,93
24.85,90
24.9,94
24.95,106
25,116
25.05,137
25.1,181
25.15,226
25.2,255
25.25,281
25.3,267
25.35,245
25.4,200
25.45,203
25.5,222
25.55,238
25.6,266
25.65,253
25.7,233
25.75,181
25.8,141
25.85,126
25.9,110
25.95,96
26,81
26.05,91
26.1,89
26.15,88
26.2,92
26.25,95
26.3,88
26.35,89
26.4,91
26.45,104
26.5,93
26.55,103
26.6,105
26.65,109
26.7,100
26.75,114
26.8,107
26.85,114
26.9,138
26.95,166
27,190
27.05,247
27.1,238
27.15,222
27.2,191
27.25,155
27.3,142
27.35,118
27.4,123
27.45,118
27.5,129
27.55,145
27.6,160
27.65,153
27.7,134
27.75,119
27.8,112
27.85,98
27.9,93
27.95,88
28,86
28.05,81
28.1,87
28.15,84
28.2,93
28.25,102
28.3,100
28.35,109
28.4,119
28.45,120
28.5,116
28.55,107
28.6,105
28.65,99
28.7,89
28.75,88
28.8,75
28.85,76
28.9,72
28.95,74
29,72
29.05,78
29.1,74
29.15,74
29.2,79
29.25,83
29.3,86
29.35,83
29.4,87
29.45,89
29.5,89
29.55,101
29.6,97
29.65,98
29.7,104
29.75,103
29.8,106
29.85,95
29.9,103
29.95,95
30,93
30.05,90
30.1,90
30.15,89
30.2,85
30.25,82
30.3,85
30.35,84
30.4,72
30.45,79
30.5,84
30.55,77
30.6,88
30.65,78
30.7,82
30.75,95
30.8,96
30.85,95
30.9,89
30.95,87
31,82
31.05,83
31.1,75
31.15,77
31.2,77
31.25,85
31.3,90
31.35,85
31.4,91
31.45,91
31.5,83
31.55,88
31.6,84
31.65,73
31.7,78
31.75,83
31.8,90
31.85,89
31.9,90
31.95,96
32,88
32.05,96
32.1,114
32.15,128
32.2,162
32.25,194
32.3,235
32.35,273
32.4,277
32.45,269
32.5,258
32.55,225
32.6,210
32.65,190
32.7,201
32.75,170
32.8,154
32.85,131
32.9,108
32.95,97
33,87
33.05,97
33.1,93
33.15,102
33.2,103
33.25,97
33.3,89
33.35,79
33.4,67
33.45,65
33.5,73
33.55,56
33.6,53
33.65,71
33.7,62
33.75,61
33.8,64
33.85,59
33.9,72
33.95,64
34,70
34.05,61
34.1,69
34.15,64
34.2,64
34.25,69
34.3,63
34.35,65
34.4,68
34.45,82
34.5,74
34.55,87
34.6,88
34.65,99
34.7,98
34.75,85
34.8,85
34.85,94
34.9,90
34.95,112
35,109
35.05,124
35.1,123
35.15,106
35.2,108
35.25,119
35.3,111
35.35,114
35.4,101
35.45,108
35.5,93
35.55,85
35.6,90
35.65,92
35.7,86
35.75,88
35.8,84
35.85,82
35.9,83
35.95,75
36,70
36.05,79
36.1,70
36.15,73
36.2,68
36.25,67
36.3,65
36.35,64
36.4,59
36.45,57
36.5,67
36.55,67
36.6,76
36.65,82
36.7,82
36.75,79
36.8,86
36.85,74
36.9,68
36.95,69
37,63
37.05,63
37.1,65
37.15,60
37.2,59
37.25,58
37.3,63
37.35,56
37.4,71
37.45,53
37.5,63
37.55,67
37.6,63
37.65,61
37.7,60
37.75,59
37.8,58
37.85,59
37.9,60
37.95,55
38,56
38.05,59
38.1,59
38.15,62
38.2,62
38.25,62
38.3,65
38.35,66
38.4,60
38.45,58
38.5,52
38.55,55
38.6,53
38.65,60
38.7,59
38.75,52
38.8,50
38.85,57
38.9,54
38.95,54
39,49
39.05,52
39.1,50
39.15,48
39.2,45
39.25,54
39.3,50
39.35,58
39.4,65
39.45,57
39.5,58
39.55,50
39.6,54
39.65,52
39.7,45
39.75,46
39.8,50
39.85,46
39.9,51
39.95,52
40,47
40.05,45
40.1,54
40.15,49
40.2,55
40.25,44
40.3,53
40.35,47
40.4,50
40.45,53
40.5,49
40.55,53
40.6,58
40.65,55
40.7,57
40.75,61
40.8,53
40.85,60
40.9,53
40.95,62
41,68
41.05,58
41.1,59
41.15,68
41.2,76
41.25,68
41.3,82
41.35,77
41.4,102
41.45,123
41.5,132
41.55,166
41.6,165
41.65,154
41.7,151
41.75,143
41.8,127
41.85,127
41.9,121
41.95,114
42,125
42.05,110
42.1,103
42.15,104
42.2,97
42.25,88
42.3,67
42.35,68
42.4,71
42.45,57
42.5,61
42.55,52
42.6,57
42.65,53
42.7,53
42.75,57
42.8,50
42.85,63
42.9,56
42.95,58
43,52
43.05,53
43.1,56
43.15,49
43.2,44
43.25,44
43.3,50
43.35,49
43.4,47
43.45,58
43.5,49
43.55,53
43.6,45
43.65,61
43.7,45
43.75,53
43.8,48
43.85,43
43.9,41
43.95,47
44,55
44.05,57
44.1,51
44.15,47
44.2,52
44.25,57
44.3,53
44.35,55
44.4,52
44.45,49
44.5,41
44.55,44
44.6,50
44.65,47
44.7,43
44.75,47
44.8,41
44.85,48
44.9,40
44.95,44
45,48
45.05,47
45.1,44
45.15,46
45.2,45
45.25,55
45.3,55
45.35,52
45.4,57
45.45,54
45.5,56
45.55,70
45.6,65
45.65,73
45.7,71
45.75,66
45.8,65
45.85,62
45.9,61
45.95,52
46,53
46.05,59
46.1,61
46.15,59
46.2,51
46.25,51
46.3,50
46.35,44
46.4,49
46.45,51
46.5,44
46.55,42
46.6,51
46.65,49
46.7,41
46.75,47
46.8,47
46.85,48
46.9,47
46.95,50
47,52
47.05,46
47.1,45
47.15,54
47.2,41
47.25,42
47.3,43
47.35,46
47.4,45
47.45,46
47.5,51
47.55,58
47.6,58
47.65,57
47.7,53
47.75,61
47.8,62
47.85,54
47.9,60
47.95,55
48,52
48.05,59
48.1,52
48.15,51
48.2,56
48.25,50
48.3,55
48.35,45
48.4,55
48.45,47
48.5,52
48.55,56
48.6,56
48.65,52
48.7,50
48.75,53
48.8,55
48.85,46
48.9,55
48.95,54
49,48
49.05,46
49.1,52
49.15,49
49.2,49
49.25,56
49.3,51
49.35,46
49.4,62
49.45,54
49.5,72
49.55,60
49.6,64
49.65,63
49.7,65
49.75,58
49.8,58
49.85,59
49.9,58
49.95,65
50,80
50.05,69
50.1,68
50.15,58
50.2,57
50.25,55
50.3,57
50.35,59
50.4,64
50.45,54
50.5,59
50.55,69
50.6,68
50.65,72
50.7,81
50.75,73
50.8,72
50.85,67
50.9,62
50.95,65
51,62
51.05,49
51.1,46
51.15,52
51.2,47
51.25,56
51.3,51
51.35,48
51.4,57
51.45,52
51.5,60
51.55,46
51.6,51
51.65,49
51.7,50
51.75,44
51.8,65
51.85,56
51.9,53
51.95,44
52,68
